Sample in Buffer,Sample in Window,TRIGGER,u_ila_adc/probe[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
899,899,0,6812300000000004
900,900,0,6812300000000000
901,901,0,6812300000000000
902,902,0,4892300000000004
903,903,0,4a12300000000004
904,904,0,4a12300000000000
905,905,0,4a12300000000000
906,906,0,4a12300000000004
907,907,0,4a12300000000004
908,908,0,4a12300000000000
909,909,0,4a12300000000000
910,910,0,4a32300000000004
911,911,0,4832300000000004
912,912,0,4832300000000000
913,913,0,4832300000000000
914,914,0,4812380000000004
915,915,0,4812380000000004
916,916,0,4812380000000000
917,917,0,6912380000000000
918,918,0,6c12380000000004
919,919,0,6c12380000000004
920,920,0,6c12380000000000
921,921,0,6c12380000000000
922,922,0,6c12380000000004
923,923,0,6c12380000000004
924,924,0,6c12380000000000
925,925,0,6c12380000000000
926,926,0,6852380000000004
927,927,0,6852380000000004
928,928,0,6852380000000000
929,929,0,6852380000000000
930,930,0,6812380000000004
931,931,0,6812380000000004
932,932,0,4892380000000000
933,933,0,4a12380000000000
934,934,0,4a12380000000004
935,935,0,4a12380000000004
936,936,0,4a12380000000000
937,937,0,4a12380000000000
938,938,0,4a12380000000004
939,939,0,4a12380000000004
940,940,0,4a12380000000000
941,941,0,4812380000000000
942,942,0,4832380000000004
943,943,0,4832380000000004
944,944,0,4832380000000000
945,945,0,4832380000000000
946,946,0,4812400000000004
947,947,0,6912400000000004
948,948,0,6c12400000000000
949,949,0,6c12400000000000
950,950,0,6c12400000000004
951,951,0,6c12400000000004
952,952,0,6c12400000000000
953,953,0,6c12400000000000
954,954,0,6c52400000000004
955,955,0,6c52400000000004
956,956,0,6852400000000000
957,957,0,6852400000000000
958,958,0,6812400000000004
959,959,0,6812400000000004
960,960,0,6812400000000000
961,961,0,6812400000000000
962,962,0,4892400000000004
963,963,0,4a12400000000004
964,964,0,4a12400000000000
965,965,0,4a12400000000000
966,966,0,4a12400000000004
967,967,0,4a12400000000004
968,968,0,4a12400000000000
969,969,0,4a12400000000000
970,970,0,4a32400000000004
971,971,0,4832400000000004
972,972,0,4832400000000000
973,973,0,4832400000000000
974,974,0,4812480000000004
975,975,0,4812480000000004
976,976,0,4812480000000000
977,977,0,6912480000000000
978,978,0,6c12480000000004
979,979,0,6c12480000000004
980,980,0,6c12480000000000
981,981,0,6c12480000000000
982,982,0,6c12480000000004
983,983,0,6c12480000000004
984,984,0,6c12480000000000
985,985,0,6c12480000000000
